"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"11","VPS52",6293,0.5426,0.9984,0.8206,0,0,0,0.5426,0.5426,1,0,"","","","Proximity to VPS53 associated with Pontocerebellar hypoplasia, type 2E (OMIM:615851): Spasticity (HP:0001257)-Opisthotonus (HP:0002179), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"12","PRMT3",10196,0.5376,1,0.8152,0,0.5376,0,0.5001,0.5376,1,0,"","Cataract (HP:0000518)-cataract (MP:0001304), Ventriculomegaly (HP:0002119)-hydroencephaly (MP:0001891), ","","Proximity to HDAC8 associated with Cornelia de Lange syndrome (ORPHA:199): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Aplasia/Hypoplasia of the cerebellum (HP:0007360), ","",""
"13","SOD2",6648,0.5331,1,0.808,0,0.5069,0,0.5331,0.5331,1,0,"","Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-abnormal gait (MP:0001406), Microcephaly (HP:0000252)-abnormal frontal lobe morphology (MP:0000798), Methylmalonic aciduria (HP:0012120)-abnormal urine homeostasis (MP:0009643), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal frontal lobe morphology (MP:0000798), Cerebellar atrophy (HP:0001272)-abnormal trigeminal motor nucleus morphology (MP:0000911), ","","Proximity to AFG3L2 associated with Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome (ORPHA:313772): Spasticity (HP:0001257)-Spastic dysarthria (HP:0002464), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebellar hypoplasia (HP:0001321), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to AFG3L2 Dystonia (HP:0001332)-abnormal locomotor activation (MP:0003313), Cerebellar atrophy (HP:0001272)-abnormal cerebellar granule layer morphology (MP:0000886), ",""
"14","ATXN2",6311,0.6646,0.8455,0.7997,0.6646,0.3422,0,0.5066,0.6646,1,0,"Spinocerebellar ataxia type 2 (ORPHA:98756): Spasticity (HP:0001257)-Abnormal cortical gyration (HP:0002536), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral white matter atrophy (HP:0012762), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the substantia nigra (HP:0045007), Cerebellar atrophy (HP:0001272)-Cerebellar Purkinje layer atrophy (HP:0012082), ","Dystonia (HP:0001332)-impaired coordination (MP:0001405), Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ","","Proximity to ATXN3 associated with Machado-Joseph disease (OMIM:109150): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Methylmalonic aciduria (HP:0012120)-Urinary bladder sphincter dysfunction (HP:0002839), Ventriculomegaly (HP:0002119)-Dilated fourth ventricle (HP:0002198), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to ATXN3 Dystonia (HP:0001332)-impaired coordination (MP:0001405), Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ",""
"15","YWHAZ",7534,0.5248,1,0.7942,0,0.4583,0,0.5248,0.5248,1,0,"","Spasticity (HP:0001257)-abnormal neuronal migration (MP:0006009), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-abnormal hippocampus layer morphology (MP:0000813), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal hippocampus layer morphology (MP:0000813), Cerebellar atrophy (HP:0001272)-abnormal hippocampus granule cell morphology (MP:0009938), ","","Proximity to KIF1C associated with Autosomal recessive spastic paraplegia type 58 (ORPHA:397946): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Torticollis (HP:0000473), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the cerebral white matter (HP:0002500), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"16","FOXP2",93986,0.5125,1,0.7725,0.5125,0.5036,0,0.5002,0.5125,1,0,"Speech-language disorder-1 (OMIM:602081): Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the basal ganglia (HP:0002134), ","Spasticity (HP:0001257)-bradykinesia (MP:0005156), Dystonia (HP:0001332)-bradykinesia (MP:0005156), Cerebellar atrophy (HP:0001272)-small cerebellum (MP:0000852), ","","Proximity to FOXC1 associated with Anterior segment dysgenesis 3, multiple subtypes (OMIM:601631): Microcephaly (HP:0000252)-Cerebellar vermis hypoplasia (HP:0001320), Cataract (HP:0000518)-Posterior embryotoxon (HP:0000627), Ventriculomegaly (HP:0002119)-Enlarged cisterna magna (HP:0002280), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Proximity to FOXC1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Methylmalonic aciduria (HP:0012120)-abnormal ureter development (MP:0003672), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellum development (MP:0000854), ","Proximity to FOXC1 Methylmalonic aciduria (HP:0012120)-abnormal(ly) physical object quality pronephric glomerulus (ZP:0008287), "
"17","MYO7A",4647,0.5201,0.9897,0.7699,0.5201,0.3601,0.1971,0.5,0.5201,1,0,"Usher syndrome type 1 (ORPHA:231169): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Microcephaly (HP:0000252)-Subcortical cerebral atrophy (HP:0012157), Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Subcortical cerebral atrophy (HP:0012157), ","Dystonia (HP:0001332)-hyperactivity (MP:0001399), Cerebellar atrophy (HP:0001272)-cochlear hair cell degeneration (MP:0004362), ","Spasticity (HP:0001257)-abnormal(ly) disrupted inner ear receptor stereocilium organization (ZP:0010818), ","Proximity to MECP2 associated with Rett syndrome (ORPHA:778): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Arnold-Chiari malformation (HP:0002308), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal hippocampus CA2 region morphology (MP:0008265), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal(ly) increased occurrence brain astrocyte differentiation (ZP:0018102), "
"18","ATM",472,0.512,0.9926,0.7595,0.481,0.4338,0,0.512,0.512,1,0,"Ataxia-telangiectasia (OMIM:208900): Dystonia (HP:0001332)-Dystonia (HP:0001332), Cataract (HP:0000518)-Conjunctival telangiectasia (HP:0000524), ","Spasticity (HP:0001257)-ectopic Purkinje cell (MP:0000885), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Cerebellar atrophy (HP:0001272)-thin cerebellar molecular layer (MP:0000890), ","","Proximity to MCPH1 associated with Autosomal recessive primary microcephaly (ORPHA:2512): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Vesicoureteral reflux (HP:0000076), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","Proximity to MCPH1 Spasticity (HP:0001257)-microcephaly (MP:0000433), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Cataract (HP:0000518)-cataract (MP:0001304), Abnormal basal ganglia MRI signal intensity (HP:0012751)-microcephaly (MP:0000433), ",""
"19","LRP5",4041,0.5045,0.9991,0.7561,0.4984,0.3686,0.3752,0.5045,0.5045,1,0,"Osteoporosis-pseudoglioma syndrome (OMIM:259770): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), ","Dystonia (HP:0001332)-hypoactivity (MP:0001402), Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ","Ventriculomegaly (HP:0002119)-abnormal(ly) swollen fourth ventricle (ZP:0005600), Cerebellar atrophy (HP:0001272)-abnormal(ly) swollen fourth ventricle (ZP:0005600), ","","Proximity to FZD3 Spasticity (HP:0001257)-thin cerebral cortex (MP:0006254), Microcephaly (HP:0000252)-abnormal telencephalon morphology (MP:0000787), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), ","Proximity to FZD3 Spasticity (HP:0001257)-abnormal(ly) disrupted neuron migration (ZP:0001562), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), Cerebellar atrophy (HP:0001272)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), "
"20","CLDN10",9071,0.504,0.9988,0.7547,0,0,0,0.504,0.504,1,0,"","","","Proximity to OCLN associated with Pseudo-TORCH syndrome 1 (OMIM:251290): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to OCLN Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"21","TLK2",11011,0.5026,1,0.7541,0,0,0,0.5026,0.5026,1,0,"","","","Proximity to HTT associated with Juvenile Huntington disease (ORPHA:248111): Dystonia (HP:0001332)-Dystonia (HP:0001332), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Neuronal loss in basal ganglia (HP:0200147), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to HTT Spasticity (HP:0001257)-abnormal hippocampus morphology (MP:0000807), Microcephaly (HP:0000252)-abnormal telencephalon morphology (MP:0000787), Ventriculomegaly (HP:0002119)-abnormal brain ventricle morphology (MP:0000822), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellum development (MP:0000854), ","Proximity to HTT Spasticity (HP:0001257)-abnormal(ly) absent olfactory placode olfactory receptor cell (ZP:0010090), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Ventriculomegaly (HP:0002119)-abnormal(ly) increased size ventricular system (ZP:0000413), "
"22","SLC3A2",6520,0.5026,1,0.754,0,0,0,0.5026,0.5026,1,0,"","","","Proximity to KRAS associated with Encephalocraniocutaneous lipomatosis (ORPHA:2396): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Corneal opacity (HP:0007957), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Subcortical cerebral atrophy (HP:0012157), ","Proximity to KRAS Microcephaly (HP:0000252)-decreased cranium length (MP:0011862), Methylmalonic aciduria (HP:0012120)-abnormal kidney morphology (MP:0002135), ",""
"23","MAP2K3",5606,0.5024,1,0.7536,0,0,0,0.5024,0.5024,1,0,"","","","Proximity to BRAF associated with Cardiofaciocutaneous syndrome (OMIM:115150): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Relative macrocephaly (HP:0004482), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to BRAF Spasticity (HP:0001257)-shortened head (MP:0000435), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-shortened head (MP:0000435), Cataract (HP:0000518)-cataract (MP:0001304), Methylmalonic aciduria (HP:0012120)-abnormal kidney morphology (MP:0002135), Abnormal basal ganglia MRI signal intensity (HP:0012751)-shortened head (MP:0000435), ",""
"24","DNAH3",55567,0.5024,1,0.7535,0,0,0,0.5024,0.5024,1,0,"","","","Proximity to RTTN associated with Microcephaly, short stature, and polymicrogyria with seizures (OMIM:614833): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the corpus callosum (HP:0001273), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"25","MUC3A",4584,0.5007,1,0.7503,0,0,0,0.5007,0.5007,1,0,"","","","Proximity to B4GALNT1 associated with Autosomal recessive spastic paraplegia type 26 (ORPHA:101006): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), Cerebellar atrophy (HP:0001272)-Abnormality of the cerebellum (HP:0001317), ","",""
"26","MUC6",4588,0.5007,1,0.7503,0,0,0,0.5007,0.5007,1,0,"","","","Proximity to B4GALNT1 associated with Autosomal recessive spastic paraplegia type 26 (ORPHA:101006): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), Cerebellar atrophy (HP:0001272)-Abnormality of the cerebellum (HP:0001317), ","",""
